Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
   165 1504000   Limoeiro do Ajuru               
   166 1504059   Mãe do Rio                      
   167 1504109   Magalhães Barata                
   168 1504307   Maracanã                        
   169 1504406   Marapanim                       
   170 1504455   Medicilândia                    
   171 1504505   Melgaço                         
   172 1504604   Mocajuba                        
   173 1504901   Muaná                           
   174 1504950   Nova Esperança do Piriá         
   175 1504976   Nova Ipixuna                    
   176 1505007   Nova Timboteua                  
   177 1505031   Novo Progresso                  
   178 1505205   Oeiras do Pará                  
   179 1505403   Ourém                           
   180 1505437   Ourilândia do Norte             
   181 1505494   Palestina do Pará               
   182 1505551   Pau D'Arco                      
   183 1505601   Peixe-Boi                       
   184 1505635   Piçarra                         
   185 1505650   Placas                          
   186 1505700   Ponta de Pedras                 
   187 1505908   Porto de Moz                    
   188 1506005   Prainha                         
   189 1506104   Primavera                       
   190 1506112   Quatipuru                       
   191 1506161   Rio Maria                       
   192 1506203   Salinópolis                     
   193 1506302   Salvaterra                      
   194 1506351   Santa Bárbara do Pará           
   195 1506401   Santa Cruz do Arari             
   196 1506559   Santa Luzia do Pará             
   197 1506583   Santa Maria das Barreiras       
   198 1506609   Santa Maria do Pará             
   199 1506906   Santarém Novo                   
   200 1507003   Santo Antônio do Tauá           
   201 1507102   São Caetano de Odivelas         
   202 1507151   São Domingos do Araguaia        
   203 1507201   São Domingos do Capim           
   204 1507409   São Francisco do Pará           
   205 1507458   São Geraldo do Araguaia         
   206 1507466   São João da Ponta               
   207 1507474   São João de Pirabas             
   208 1507508   São João do Araguaia            
   209 1507706   São Sebastião da Boa Vista      
   210 1507755   Sapucaia                        
   211 1507805   Senador José Porfírio           
   212 1507904   Soure                           
   213 1507961   Terra Alta                      
   214 1507979   Terra Santa                     
   215 1508035   Tracuateua                      
   216 1508050   Trairão                         
   217 1508126   Ulianópolis                     
   218 1508357   Vitória do Xingu                
   219 1600055   Serra do Navio                  
   220 1600105   Amapá                           
   221 1600154   Pedra Branca do Amapari         
   222 1600204   Calçoene                        
   223 1600212   Cutias                          
   224 1600238   Ferreira Gomes                  
   225 1600253   Itaubal                         
   226 1600279   Laranjal do Jari                
   227 1600402   Mazagão                         
   228 1600501   Oiapoque                        
   229 1600535   Porto Grande                    
   230 1600550   Pracuúba                        
   231 1600709   Tartarugalzinho                 
   232 1600808   Vitória do Jari                 
   233 1700251   Abreulândia                     
   234 1700301   Aguiarnópolis                   
   235 1700350   Aliança do Tocantins            
   236 1700400   Almas                           
   237 1700707   Alvorada                        
   238 1701002   Ananás                          
   239 1701051   Angico                          
   240 1701101   Aparecida do Rio Negro          
   241 1701309   Aragominas                      
   242 1701903   Araguacema                      
   243 1702000   Araguaçu                        
   244 1702158   Araguanã                        
   245 1702208   Araguatins                      
   246 1702307   Arapoema                        
   247 1702406   Arraias                         
   248 1702554   Augustinópolis                  
   249 1702703   Aurora do Tocantins             
   250 1702901   Axixá do Tocantins              
   251 1703008   Babaçulândia                    
   252 1703057   Bandeirantes do Tocantins       
   253 1703073   Barra do Ouro                   
   254 1703107   Barrolândia                     
   255 1703206   Bernardo Sayão                  
   256 1703305   Bom Jesus do Tocantins          
   257 1703602   Brasilândia do Tocantins        
   258 1703701   Brejinho de Nazaré              
   259 1703800   Buriti do Tocantins             
   260 1703826   Cachoeirinha                    
   261 1703842   Campos Lindos                   
   262 1703867   Cariri do Tocantins             
   263 1703883   Carmolândia                     
   264 1703891   Carrasco Bonito                 
   265 1703909   Caseara                         
   266 1704105   Centenário                      
   267 1704600   Chapada de Areia                
   268 1705102   Chapada da Natividade           
   269 1705557   Combinado                       
   270 1705607   Conceição do Tocantins          
   271 1706001   Couto de Magalhães              
   272 1706100   Cristalândia                    
   273 1706258   Crixás do Tocantins             
   274 1706506   Darcinópolis                    
   275 1707009   Dianópolis                      
   276 1707108   Divinópolis do Tocantins        
   277 1707207   Dois Irmãos do Tocantins        
   278 1707306   Dueré                           
   279 1707405   Esperantina                     
   280 1707553   Fátima                          
   281 1707652   Figueirópolis                   
   282 1707702   Filadélfia                      
   283 1708205   Formoso do Araguaia             
   284 1708254   Fortaleza do Tabocão            
   285 1708304   Goianorte                       
   286 1709005   Goiatins                        
   287 1709302   Guaraí                          
   288 1709807   Ipueiras                        
   289 1710508   Itacajá                         
   290 1710706   Itaguatins                      
   291 1710904   Itapiratins                     
   292 1711100   Itaporã do Tocantins            
   293 1711506   Jaú do Tocantins                
   294 1711803   Juarina                         
   295 1711902   Lagoa da Confusão               
   296 1711951   Lagoa do Tocantins              
   297 1712009   Lajeado                         
   298 1712157   Lavandeira                      
   299 1712405   Lizarda                         
   300 1712454   Luzinópolis                     
   301 1712504   Marianópolis do Tocantins       
   302 1712702   Mateiros                        
   303 1712801   Maurilândia do Tocantins        
   304 1713205   Miracema do Tocantins           
   305 1713304   Miranorte                       
   306 1713601   Monte do Carmo                  
   307 1713700   Monte Santo do Tocantins        
   308 1713809   Palmeiras do Tocantins          
   309 1713957   Muricilândia                    
   310 1714203   Natividade                      
   311 1714302   Nazaré                          
   312 1714880   Nova Olinda                     
   313 1715002   Nova Rosalândia                 
   314 1715101   Novo Acordo                     
   315 1715150   Novo Alegre                     
   316 1715259   Novo Jardim                     
   317 1715507   Oliveira de Fátima              
   318 1715705   Palmeirante                     
   319 1715754   Palmeirópolis                   
   320 1716208   Paranã                          
   321 1716307   Pau D'Arco                      
   322 1716505   Pedro Afonso                    
   323 1716604   Peixe                           
   324 1716653   Pequizeiro                      
   325 1716703   Colméia                         
   326 1717008   Pindorama do Tocantins          
   327 1717206   Piraquê                         
   328 1717503   Pium                            
   329 1717800   Ponte Alta do Bom Jesus         
   330 1717909   Ponte Alta do Tocantins         
   331 1718006   Porto Alegre do Tocantins       
   332 1718303   Praia Norte                     
   333 1718402   Presidente Kennedy              
   334 1718451   Pugmil                          
   335 1718501   Recursolândia                   
   336 1718550   Riachinho                       
   337 1718659   Rio da Conceição                
   338 1718709   Rio dos Bois                    
   339 1718758   Rio Sono                        
   340 1718808   Sampaio                         
   341 1718840   Sandolândia                     
   342 1718865   Santa Fé do Araguaia            
   343 1718881   Santa Maria do Tocantins        
   344 1718899   Santa Rita do Tocantins         
   345 1718907   Santa Rosa do Tocantins         
   346 1719004   Santa Tereza do Tocantins       
   347 1720002   Santa Terezinha do Tocantins    
   348 1720101   São Bento do Tocantins          
   349 1720150   São Félix do Tocantins          
   350 1720200   São Miguel do Tocantins         
   351 1720259   São Salvador do Tocantins       
   352 1720309   São Sebastião do Tocantins      
   353 1720499   São Valério da Natividade       
   354 1720655   Silvanópolis                    
   355 1720804   Sítio Novo do Tocantins         
   356 1720853   Sucupira                        
   357 1720903   Taguatinga                      
   358 1720937   Taipas do Tocantins             
   359 1720978   Talismã                         
   360 1721109   Tocantínia                      
   361 1721208   Tocantinópolis                  
   362 1721257   Tupirama                        
   363 1721307   Tupiratins                      
   364 1722081   Wanderlândia                    
   365 1722107   Xambioá                         
   366 2100105   Afonso Cunha                    
   367 2100154   Água Doce do Maranhão           
   368 2100204   Alcântara                       
   369 2100303   Aldeias Altas                   
   370 2100402   Altamira do Maranhão            
   371 2100436   Alto Alegre do Maranhão         
   372 2100477   Alto Alegre do Pindaré          
   373 2100501   Alto Parnaíba                   
   374 2100550   Amapá do Maranhão               
   375 2100600   Amarante do Maranhão            
   376 2100709   Anajatuba                       
   377 2100808   Anapurus                        
   378 2100832   Apicum-Açu                      
   379 2100873   Araguanã                        
   380 2100907   Araioses                        
   381 2100956   Arame                           
   382 2101004   Arari                           
   383 2101103   Axixá                           
   384 2101251   Bacabeira                       
   385 2101301   Bacuri                          
   386 2101350   Bacurituba                      
   387 2101509   Barão de Grajaú                 
   388 2101731   Belágua                         
   389 2101772   Bela Vista do Maranhão          
   390 2101806   Benedito Leite                  
   391 2101905   Bequimão                        
   392 2101939   Bernardo do Mearim              
   393 2101970   Boa Vista do Gurupi             
   394 2102036   Bom Jesus das Selvas            
   395 2102077   Bom Lugar                       
   396 2102101   Brejo                           
   397 2102150   Brejo de Areia                  
   398 2102200   Buriti                          
   399 2102309   Buriti Bravo                    
   400 2102358   Buritirana                      
   401 2102374   Cachoeira Grande                
   402 2102408   Cajapió                         
   403 2102507   Cajari                          
   404 2102556   Campestre do Maranhão           
   405 2102606   Cândido Mendes                  
   406 2102705   Cantanhede                      
   407 2102754   Capinzal do Norte               
   408 2102804   Carolina                        
   409 2102903   Carutapera                      
   410 2103109   Cedral                          
   411 2103125   Central do Maranhão             
   412 2103158   Centro do Guilherme             
   413 2103174   Centro Novo do Maranhão         
   414 2103257   Cidelândia                      
   415 2103554   Conceição do Lago-Açu           
   416 2103752   Davinópolis                     
   417 2103802   Dom Pedro                       
   418 2103901   Duque Bacelar                   
   419 2104008   Esperantinópolis                
   420 2104073   Feira Nova do Maranhão          
   421 2104081   Fernando Falcão                 
   422 2104099   Formosa da Serra Negra          
   423 2104107   Fortaleza dos Nogueiras         
   424 2104206   Fortuna                         
   425 2104305   Godofredo Viana                 
   426 2104404   Gonçalves Dias                  
   427 2104503   Governador Archer               
   428 2104552   Governador Edison Lobão         
   429 2104602   Governador Eugênio Barros       
   430 2104628   Governador Luiz Rocha           
   431 2104651   Governador Newton Bello         
   432 2104677   Governador Nunes Freire         
   433 2104701   Graça Aranha                    
   434 2104909   Guimarães                       
   435 2105005   Humberto de Campos              
   436 2105104   Icatu                           
   437 2105153   Igarapé do Meio                 
   438 2105203   Igarapé Grande                  
   439 2105351   Itaipava do Grajaú              
   440 2105427   Itinga do Maranhão              
   441 2105450   Jatobá                          
   442 2105476   Jenipapo dos Vieiras            
   443 2105500   João Lisboa                     
   444 2105609   Joselândia                      
   445 2105658   Junco do Maranhão               
   446 2105807   Lago do Junco                   
   447 2105906   Lago Verde                      
   448 2105922   Lagoa do Mato                   
   449 2105948   Lago dos Rodrigues              
   450 2105963   Lagoa Grande do Maranhão        
   451 2105989   Lajeado Novo                    
   452 2106003   Lima Campos                     
   453 2106102   Loreto                          
   454 2106201   Luís Domingues                  
   455 2106300   Magalhães de Almeida            
   456 2106326   Maracaçumé                      
   457 2106359   Marajá do Sena                  
   458 2106375   Maranhãozinho                   
   459 2106409   Mata Roma                       
   460 2106508   Matinha                         
   461 2106607   Matões                          
   462 2106631   Matões do Norte                 
   463 2106672   Milagres do Maranhão            
   464 2106706   Mirador                         
   465 2106755   Miranda do Norte                
   466 2106805   Mirinzal                        
   467 2106904   Monção                          
   468 2107001   Montes Altos                    
   469 2107100   Morros                          
   470 2107209   Nina Rodrigues                  
   471 2107258   Nova Colinas                    
   472 2107308   Nova Iorque                     
   473 2107357   Nova Olinda do Maranhão         
   474 2107407   Olho d'Água das Cunhãs          
   475 2107456   Olinda Nova do Maranhão         
   476 2107605   Palmeirândia                    
   477 2107704   Paraibano                       
   478 2107902   Passagem Franca                 
   479 2108009   Pastos Bons                     
   480 2108058   Paulino Neves                   
   481 2108108   Paulo Ramos                     
   482 2108256   Pedro do Rosário                
   483 2108306   Penalva                         
   484 2108405   Peri Mirim                      
   485 2108454   Peritoró                        
   486 2108504   Pindaré-Mirim                   
   487 2108702   Pio XII                         
   488 2108801   Pirapemas                       
   489 2108900   Poção de Pedras                 
   490 2109007   Porto Franco                    
   491 2109056   Porto Rico do Maranhão          
   492 2109205   Presidente Juscelino            
   493 2109239   Presidente Médici               
   494 2109270   Presidente Sarney               
   495 2109304   Presidente Vargas               
   496 2109403   Primeira Cruz                   
   497 2109452   Raposa                          
   498 2109502   Riachão                         
   499 2109551   Ribamar Fiquene                 
   500 2109700   Sambaíba                        
   501 2109759   Santa Filomena do Maranhão      
   502 2110039   Santa Luzia do Paruá            
   503 2110104   Santa Quitéria do Maranhão      
   504 2110203   Santa Rita                      
   505 2110237   Santana do Maranhão             
   506 2110278   Santo Amaro do Maranhão         
   507 2110302   Santo Antônio dos Lopes         
   508 2110401   São Benedito do Rio Preto       
   509 2110609   São Bernardo                    
   510 2110658   São Domingos do Azeitão         
   511 2110807   São Félix de Balsas             
   512 2110856   São Francisco do Brejão         
   513 2110906   São Francisco do Maranhão       
   514 2111003   São João Batista                
   515 2111029   São João do Carú                
   516 2111052   São João do Paraíso             
   517 2111078   São João do Soter               
   518 2111102   São João dos Patos              
   519 2111250   São José dos Basílios           
   520 2111409   São Luís Gonzaga do Maranhão    
   521 2111532   São Pedro da Água Branca        
   522 2111573   São Pedro dos Crentes           
   523 2111607   São Raimundo das Mangabeiras    
   524 2111631   São Raimundo do Doca Bezerra    
   525 2111672   São Roberto                     
   526 2111706   São Vicente Ferrer              
   527 2111722   Satubinha                       
   528 2111748   Senador Alexandre Costa         
   529 2111763   Senador La Rocque               
   530 2111789   Serrano do Maranhão             
   531 2111805   Sítio Novo                      
   532 2111904   Sucupira do Norte               
   533 2111953   Sucupira do Riachão             
   534 2112001   Tasso Fragoso                   
   535 2112100   Timbiras                        
   536 2112233   Trizidela do Vale               
   537 2112274   Tufilândia                      
   538 2112407   Turiaçu                         
   539 2112456   Turilândia                      
   540 2112605   Urbano Santos                   
   541 2112852   Vila Nova dos Martírios         
   542 2112902   Vitória do Mearim               
   543 2113009   Vitorino Freire                 
   544 2200053   Acauã                           
   545 2200103   Agricolândia                    
   546 2200202   Água Branca                     
   547 2200251   Alagoinha do Piauí              
   548 2200277   Alegrete do Piauí               
   549 2200301   Alto Longá                      
   550 2200459   Alvorada do Gurguéia            
   551 2200509   Amarante                        
   552 2200608   Angical do Piauí                
   553 2200707   Anísio de Abreu                 
   554 2200806   Antônio Almeida                 
   555 2200905   Aroazes                         
   556 2200954   Aroeiras do Itaim               
   557 2201002   Arraial                         
   558 2201051   Assunção do Piauí               
   559 2201101   Avelino Lopes                   
   560 2201150   Baixa Grande do Ribeiro         
   561 2201176   Barra D'Alcântara               
   562 2201309   Barreiras do Piauí              
   563 2201408   Barro Duro                      
   564 2201507   Batalha                         
   565 2201556   Bela Vista do Piauí             
   566 2201572   Belém do Piauí                  
   567 2201606   Beneditinos                     
   568 2201705   Bertolínia                      
   569 2201739   Betânia do Piauí                
   570 2201770   Boa Hora                        
   571 2201804   Bocaina                         
   572 2201903   Bom Jesus                       
   573 2201919   Bom Princípio do Piauí          
   574 2201929   Bonfim do Piauí                 
   575 2201945   Boqueirão do Piauí              
   576 2201960   Brasileira                      
   577 2201988   Brejo do Piauí                  
   578 2202000   Buriti dos Lopes                
   579 2202026   Buriti dos Montes               
   580 2202059   Cabeceiras do Piauí             
   581 2202075   Cajazeiras do Piauí             
   582 2202083   Cajueiro da Praia               
   583 2202091   Caldeirão Grande do Piauí       
   584 2202109   Campinas do Piauí               
   585 2202117   Campo Alegre do Fidalgo         
   586 2202133   Campo Grande do Piauí           
   587 2202174   Campo Largo do Piauí            
   588 2202251   Canavieira                      
   589 2202307   Canto do Buriti                 
   590 2202406   Capitão de Campos               
   591 2202455   Capitão Gervásio Oliveira       
   592 2202505   Caracol                         
   593 2202539   Caraúbas do Piauí               
   594 2202554   Caridade do Piauí               
   595 2202604   Castelo do Piauí                
   596 2202653   Caxingó                         
   597 2202703   Cocal                           
   598 2202711   Cocal de Telha                  
   599 2202729   Cocal dos Alves                 
   600 2202737   Coivaras                        
   601 2202752   Colônia do Gurguéia             
   602 2202778   Colônia do Piauí                
   603 2202802   Conceição do Canindé            
   604 2202851   Coronel José Dias               
   605 2202901   Corrente                        
   606 2203008   Cristalândia do Piauí           
   607 2203107   Cristino Castro                 
   608 2203206   Curimatá                        
   609 2203230   Currais                         
   610 2203255   Curralinhos                     
   611 2203271   Curral Novo do Piauí            
   612 2203305   Demerval Lobão                  
   613 2203354   Dirceu Arcoverde                
   614 2203404   Dom Expedito Lopes              
   615 2203420   Domingos Mourão                 
   616 2203453   Dom Inocêncio                   
   617 2203503   Elesbão Veloso                  
   618 2203602   Eliseu Martins                  
   619 2203750   Fartura do Piauí                
   620 2203800   Flores do Piauí                 
   621 2203859   Floresta do Piauí               
   622 2204006   Francinópolis                   
   623 2204105   Francisco Ayres                 
   624 2204154   Francisco Macedo                
   625 2204204   Francisco Santos                
   626 2204303   Fronteiras                      
   627 2204352   Geminiano                       
   628 2204402   Gilbués                         
   629 2204501   Guadalupe                       
   630 2204550   Guaribas                        
   631 2204600   Hugo Napoleão                   
   632 2204659   Ilha Grande                     
   633 2204709   Inhuma                          
   634 2204808   Ipiranga do Piauí               
   635 2204907   Isaías Coelho                   
   636 2205003   Itainópolis                     
   637 2205102   Itaueira                        
   638 2205151   Jacobina do Piauí               
   639 2205201   Jaicós                          
   640 2205250   Jardim do Mulato                
   641 2205276   Jatobá do Piauí                 
   642 2205300   Jerumenha                       
   643 2205359   João Costa                      
   644 2205409   Joaquim Pires                   
   645 2205458   Joca Marques                    
   646 2205516   Juazeiro do Piauí               
   647 2205524   Júlio Borges                    
   648 2205532   Jurema                          
   649 2205540   Lagoinha do Piauí               
   650 2205557   Lagoa Alegre                    
   651 2205565   Lagoa do Barro do Piauí         
   652 2205573   Lagoa de São Francisco          
   653 2205581   Lagoa do Piauí                  
   654 2205599   Lagoa do Sítio                  
   655 2205607   Landri Sales                    
   656 2205706   Luís Correia                    
   657 2205805   Luzilândia                      
   658 2205854   Madeiro                         
   659 2205904   Manoel Emídio                   
   660 2205953   Marcolândia                     
   661 2206001   Marcos Parente                  
   662 2206050   Massapê do Piauí                
   663 2206100   Matias Olímpio                  
   664 2206209   Miguel Alves                    
   665 2206308   Miguel Leão                     
   666 2206357   Milton Brandão                  
   667 2206407   Monsenhor Gil                   
   668 2206506   Monsenhor Hipólito              
   669 2206605   Monte Alegre do Piauí           
   670 2206654   Morro Cabeça no Tempo           
   671 2206670   Morro do Chapéu do Piauí        
   672 2206696   Murici dos Portelas             
   673 2206704   Nazaré do Piauí                 
   674 2206720                                   
   675 2206753   Nossa Senhora de Nazaré         
   676 2206803   Nossa Senhora dos Remédios      
   677 2206902   Novo Oriente do Piauí           
   678 2206951   Novo Santo Antônio              
   679 2207108   Olho D'Água do Piauí            
   680 2207207   Padre Marcos                    
   681 2207306   Paes Landim                     
   682 2207355   Pajeú do Piauí                  
   683 2207405   Palmeira do Piauí               
   684 2207504   Palmeirais                      
   685 2207553   Paquetá                         
   686 2207603   Parnaguá                        
   687 2207751   Passagem Franca do Piauí        
   688 2207777   Patos do Piauí                  
   689 2207793   Pau D'Arco do Piauí             
   690 2207801   Paulistana                      
   691 2207850   Pavussu                         
   692 2207934   Pedro Laurentino                
   693 2207959   Nova Santa Rita                 
   694 2208106   Pimenteiras                     
   695 2208205   Pio IX                          
   696 2208304   Piracuruca                      
   697 2208502   Porto                           
   698 2208551   Porto Alegre do Piauí           
   699 2208601   Prata do Piauí                  
   700 2208650   Queimada Nova                   
   701 2208700   Redenção do Gurguéia            
   702 2208809   Regeneração                     
   703 2208858   Riacho Frio                     
   704 2208874   Ribeira do Piauí                
   705 2208908   Ribeiro Gonçalves               
   706 2209005   Rio Grande do Piauí             
   707 2209104   Santa Cruz do Piauí             
   708 2209153   Santa Cruz dos Milagres         
   709 2209203   Santa Filomena                  
   710 2209302   Santa Luz                       
   711 2209351   Santana do Piauí                
   712 2209377   Santa Rosa do Piauí             
   713 2209401   Santo Antônio de Lisboa         
   714 2209450   Santo Antônio dos Milagres      
   715 2209500   Santo Inácio do Piauí           
   716 2209559   São Braz do Piauí               
   717 2209609   São Félix do Piauí              
   718 2209658   São Francisco de Assis do Piauí 
   719 2209708   São Francisco do Piauí          
   720 2209757   São Gonçalo do Gurguéia         
   721 2209807   São Gonçalo do Piauí            
   722 2209856   São João da Canabrava           
   723 2209872   São João da Fronteira           
   724 2209906   São João da Serra               
   725 2209955   São João da Varjota             
   726 2209971   São João do Arraial             
   727 2210003   São João do Piauí               
   728 2210052   São José do Divino              
   729 2210102   São José do Peixe               
   730 2210201   São José do Piauí               
   731 2210300   São Julião                      
   732 2210359   São Lourenço do Piauí           
   733 2210375   São Luis do Piauí               
   734 2210383   São Miguel da Baixa Grande      
   735 2210391   São Miguel do Fidalgo           
   736 2210409   São Miguel do Tapuio            
   737 2210508   São Pedro do Piauí              
   738 2210623   Sebastião Barros                
   739 2210631   Sebastião Leal                  
   740 2210656   Sigefredo Pacheco               
   741 2210706   Simões                          
   742 2210805   Simplício Mendes                
   743 2210904   Socorro do Piauí                
   744 2210938   Sussuapara                      
   745 2210953   Tamboril do Piauí               
   746 2210979   Tanque do Piauí                 
   747 2211209   Uruçuí                          
   748 2211308   Valença do Piauí                
   749 2211357   Várzea Branca                   
   750 2211407   Várzea Grande                   
   751 2211506   Vera Mendes                     
   752 2211605   Vila Nova do Piauí              
   753 2211704   Wall Ferraz                     
   754 2300101   Abaiara                         
   755 2300150   Acarape                         
   756 2300408   Aiuaba                          
   757 2300507   Alcântaras                      
   758 2300606   Altaneira                       
   759 2300705   Alto Santo                      
   760 2300804   Antonina do Norte               
   761 2300903   Apuiarés                        
   762 2301208   Aracoiaba                       
   763 2301257   Ararendá                        
   764 2301307   Araripe                         
   765 2301406   Aratuba                         
   766 2301505   Arneiroz                        
   767 2301604   Assaré                          
   768 2301703   Aurora                          
   769 2301802   Baixio                          
   770 2301851   Banabuiú                        
   771 2301950   Barreira                        
   772 2302008   Barro                           
   773 2302057   Barroquinha                     
   774 2302305   Bela Cruz                       
   775 2302701   Campos Sales                    
   776 2302909   Capistrano                      
   777 2303006   Caridade                        
   778 2303105   Cariré                          
   779 2303204   Caririaçu                       
   780 2303303   Cariús                          
   781 2303402   Carnaubal                       
   782 2303600   Catarina                        
   783 2303659   Catunda                         
   784 2303808   Cedro                           
   785 2303907   Chaval                          
   786 2303931   Choró                           
   787 2303956   Chorozinho                      
   788 2304004   Coreaú                          
   789 2304236   Croatá                          
   790 2304251   Cruz                            
   791 2304269   Deputado Irapuan Pinheiro       
   792 2304277   Ererê                           
   793 2304301   Farias Brito                    
   794 2304350   Forquilha                       
   795 2304459   Fortim                          
   796 2304509   Frecheirinha                    
   797 2304608   General Sampaio                 
   798 2304657   Graça                           
   799 2304806   Granjeiro                       
   800 2304905   Groaíras                        
   801 2304954   Guaiúba                         
   802 2305100   Guaramiranga                    
   803 2305209   Hidrolândia                     
   804 2305266   Ibaretama                       
   805 2305308   Ibiapina                        
   806 2305332   Ibicuitinga                     
   807 2305357   Icapuí                          
   808 2305605   Independência                   
   809 2305654   Ipaporanga                      
